Gene,Temp37_effect_size,Temp37_fdr
orf19.7664,0.526191128,0.120630236
orf19.3176,0.525236499,0.262265049
orf19.5532,0.524217639,0.194531537
orf19.1237,0.523814015,0.114843421
orf19.2653,0.521465205,0.107922161
orf19.5681,0.52005399,0.141976373
orf19.4941,0.51985386,0.157316147
orf19.6336,0.519769654,0.196811631
orf19.4653,0.518633348,0.143221515
orf19.4649,0.516832452,0.05790221
orf19.1536,0.515852166,0.280647257
orf19.1317,0.515708314,0.239426473
orf19.2350,0.51550613,0.08130966
orf19.4503,0.514014095,0.135987177
orf19.1880,0.513781561,0.243979444
orf19.1227,0.512935933,0.115041292
orf19.3444,0.512744336,0.368636793
orf19.428,0.511844618,0.159012658
orf19.5671,0.510613339,0.070578805
orf19.6243,0.509313035,0.233469584
orf19.2276,0.508849879,0.329371211
orf19.2110,0.508558568,0.168575311
orf19.3727,0.508104254,0.029166776
orf19.6986,0.506809018,0.402622029
orf19.6209,0.505961215,0.212243458
orf19.984,0.505222593,0.062534543
orf19.841,0.504975535,0.085901473
orf19.4046,0.502699614,0.412647746
orf19.399,0.502352921,0.190348566
orf19.4637,0.502229361,0.42527502
orf19.2151,0.501906009,0.107922161
orf19.6984,0.501652754,0.16862668
orf19.3995,0.50107481,0.120630236
orf19.2980,0.500181428,0.136652666
orf19.4526,0.49822573,0.109908696
orf19.1160,0.495798412,0.262124295
orf19.2095,0.495590625,0.27999366
orf19.4735,0.492311388,0.395743487
orf19.7316,0.490819192,0.222921905
orf19.7095,0.489191963,0.120630236
orf19.2423,0.489096923,0.118272788
orf19.1066,0.488585784,0.143981887
orf19.826,0.488347361,0.155498025
orf19.6562,0.486349965,0.174095905
orf19.6183,0.486079421,0.351007657
orf19.2304,0.485761177,0.206465375
orf19.4654,0.483829387,0.39308677
orf19.2172,0.483007661,0.188860857
orf19.5970,0.482641412,0.169143994
orf19.799,0.481917858,0.301170301
orf19.4144,0.478334145,0.287738552
orf19.2044,0.47406996,0.06558602
orf19.3122.2,0.473404563,0.09041845
orf19.3539,0.473113919,0.314217683
orf19.286,0.472439141,0.244156387
orf19.2942,0.471120764,0.0523098
orf19.6418,0.471047643,0.196291306
orf19.1577,0.469760915,0.082608491
orf19.6247,0.468764961,0.098082151
orf19.5498,0.466736695,0.120630236
orf19.2660,0.466496107,0.225799935
orf19.843,0.466190998,0.108334898
orf19.7393,0.465780463,0.095805182
orf19.6354,0.461424699,0.320817682
orf19.3557,0.460316419,0.185936633
orf19.639,0.459882525,0.269592938
orf19.7080,0.4597444,0.22189079
orf19.3466,0.459312093,0.303633833
orf19.2033,0.458883841,0.304421942
orf19.3363,0.458257902,0.213774168
orf19.3061,0.457884725,0.141812104
orf19.3275,0.455442266,0.158107597
orf19.4365,0.453372094,0.284423802
orf19.5978,0.45293535,0.235087586
orf19.3672,0.452660499,0.262880866
orf19.3852,0.449153472,0.236305074
orf19.1913,0.44854993,0.130649124
orf19.5796,0.446365502,0.158107597
orf19.7188,0.444186009,0.305428241
orf19.4013,0.44340983,0.395743487
orf19.6457,0.443167322,0.22086387
orf19.6344,0.442824939,0.173202089
orf19.3825,0.442697984,0.197889031
orf19.6570,0.442164841,0.166597632
orf19.6481,0.441726545,0.317825233
orf19.6810,0.440222585,0.228725334
orf19.6407,0.440163231,0.139556016
orf19.967,0.439932466,0.344235351
orf19.5307,0.439538965,0.20979765
orf19.1276,0.439407193,0.327435566
orf19.7225,0.439007469,0.143814714
orf19.2906,0.438983031,0.210006114
orf19.5862,0.434941712,0.160886975
orf19.3803,0.434486793,0.166998783
orf19.2476,0.43374608,0.146065466
orf19.7622,0.432498304,0.248726334
orf19.5915,0.430047254,0.143574627
orf19.5932,0.429908713,0.338187857
orf19.1289,0.428723989,0.591273528
orf19.691,0.42860919,0.24283527
orf19.4325,0.428119052,0.198722095
orf19.1286,0.428066982,0.287132309
orf19.2781,0.427432902,0.184250312
orf19.1636,0.425564272,0.195885734
orf19.2107,0.423499494,0.398536349
orf19.2344,0.423422916,0.24283527
orf19.7336,0.42206179,0.253884083
orf19.5968,0.418054098,0.223156581
orf19.6203,0.417791274,0.219685092
orf19.5958,0.416993369,0.199131699
orf19.6222,0.416255563,0.215927284
orf19.5667,0.415001686,0.250628395
orf19.641,0.414464252,0.265296451
orf19.7551,0.413347595,0.529801623
orf19.1185,0.412229219,0.589045569
orf19.5731,0.410639024,0.267680839
orf19.3227,0.408914514,0.334648497
orf19.5418,0.408292525,0.42527502
orf19.7578,0.407074589,0.434956456
orf19.2436,0.406982449,0.211585239
orf19.769,0.406862615,0.172828402
orf19.3121,0.405832428,0.362315235
orf19.1062,0.405168336,0.318378801
orf19.2772,0.404995132,0.131465822
orf19.1777,0.404448821,0.261524987
orf19.1041,0.404312339,0.142874908
orf19.4768,0.403659573,0.217517839
orf19.781,0.402600231,0.2499997
orf19.1793,0.401946358,0.352710278
orf19.5630,0.400854895,0.315822407
orf19.6327,0.400081793,0.117660193
orf19.4769,0.399551957,0.249359207
orf19.2673,0.39939511,0.265296451
orf19.4520,0.399267668,0.212463729
orf19.577,0.399240182,0.394286231
orf19.6168,0.399095012,0.132947631
orf19.5238,0.398082694,0.237485718
orf19.5727,0.397881878,0.191935436
orf19.551,0.395757514,0.210006114
orf19.6685,0.395557457,0.20979765
orf19.2284,0.395403355,0.240540674
orf19.3012,0.392742866,0.204631905
orf19.3555,0.392700831,0.312421748
orf19.6691,0.392635229,0.191999215
orf19.1324,0.392288845,0.395743487
orf19.3536,0.390881736,0.463462966
orf19.7069,0.39052917,0.479558944
orf19.2475,0.390188681,0.195014515
orf19.4822,0.388929837,0.247163861
orf19.7350,0.386889537,0.310965708
orf19.7342,0.386419302,0.489840568
orf19.1823,0.386318898,0.2499997
orf19.864,0.38624632,0.708317724
orf19.1158,0.385262907,0.442002985
orf19.4856,0.38457147,0.338187857
orf19.2400,0.384424368,0.287095145
orf19.1169,0.383578246,0.160836572
orf19.1263,0.381036128,0.213774168
orf19.2483,0.380530227,0.318378801
orf19.1995,0.38043053,0.326623334
orf19.4652,0.379969634,0.40412931
orf19.7164,0.379100145,0.243747174
orf19.3947,0.374083096,0.367584815
orf19.1421,0.372914612,0.194191562
orf19.643,0.372237559,0.462296282
orf19.2399,0.372080007,0.354573752
orf19.5056,0.371273075,0.465834865
orf19.1152,0.371246084,0.471748313
orf19.3756,0.37034589,0.4571331
orf19.4118,0.36960585,0.186253042
orf19.101,0.36849662,0.401483779
orf19.520,0.368202419,0.486664998
orf19.7367,0.36794796,0.445097527
orf19.1395,0.367110798,0.196291306
orf19.2446,0.366100873,0.350673812
orf19.3829,0.364017926,0.092951299
orf19.1339,0.363229602,0.417455845
orf19.2637,0.363032453,0.317359911
orf19.6901,0.362643406,0.322276853
orf19.2649,0.358833304,0.553623623
orf19.7059,0.358428866,0.354573752
orf19.1465,0.357718104,0.552968572
orf19.5195,0.357222729,0.558981439
orf19.7068,0.357116775,0.402382923
orf19.6727,0.355687474,0.216171154
orf19.4143,0.353895798,0.484402133
orf19.6694,0.353720619,0.338187857
orf19.2606,0.351496882,0.692884663
orf19.193,0.351276356,0.231163389
orf19.5683,0.351127926,0.321223867
orf19.2607,0.350997057,0.274021173
orf19.473,0.350897326,0.570917583
orf19.5276,0.350869416,0.390050443
orf19.4883,0.349227401,0.487747779
orf19.7111,0.348854861,0.223156581
orf19.7445,0.347490872,0.532911026
orf19.2821,0.347311228,0.369334748
orf19.3795,0.34668036,0.375336967
orf19.264,0.345016375,0.484402133
orf19.5643,0.344959362,0.382579437
orf19.3402,0.344235811,0.25663363
orf19.3530,0.344193742,0.408718847
orf19.4392,0.344188866,0.312421748
orf19.23,0.343575107,0.472833687
orf19.259,0.343191703,0.47306488
orf19.4610,0.343060146,0.274276758
orf19.1659,0.342964575,0.265207528
orf19.4579,0.342473421,0.40881719
orf19.4287,0.340979811,0.427190568
orf19.3232,0.34030476,0.213307419
orf19.2062,0.336091628,0.399269277
orf19.2193,0.335408206,0.377901139
